1; -0.136875137071,  0.325722030705,  1.000000000000
2;  0.950650672611, -0.010719411965,  1.000000000000
3; -0.686716036182,  0.307223893424,  1.000000000000
4; -0.146304708237,  0.202907868731,  1.000000000000
5; -0.020690507890, -0.441797698457,  1.000000000000
6; -0.267782780419,  0.643968189989,  1.000000000000
7;  0.179789486011,  0.491621887810,  1.000000000000
8; -0.240999266973, -0.443954352974,  1.000000000000
9; -0.254032734251,  0.030884019444,  1.000000000000
10; -0.648727396144,  0.255572588143,  1.000000000000
11;  0.368864300454,  0.457737234918,  1.000000000000
12; -0.669973559069, -0.064054143409,  1.000000000000
13; -0.084310605141,  0.233418275170,  1.000000000000
14;  0.385540482704,  0.631384976518,  1.000000000000
15;  0.263803883805, -0.538943898803,  1.000000000000
16;  0.293222245826,  0.158952825068,  1.000000000000
17;  0.030701820735,  0.030761324216,  1.000000000000
18; -0.156184802461, -0.664642946045,  1.000000000000
19; -0.262977048811,  0.412574963439,  1.000000000000
20;  0.646560901924,  0.745839173170,  1.000000000000
21;  0.287471713778,  0.226926035877,  1.000000000000
22; -0.555809589639,  0.093991240848,  1.000000000000
23;  0.372712225130, -0.446209315594,  1.000000000000
24; -0.639778562961, -0.552608603003,  1.000000000000
25; -0.388121950716, -0.219097427235,  1.000000000000
26; -0.135415757548,  0.720176511482,  1.000000000000
27;  0.622871757419,  0.226076670182,  1.000000000000
28; -0.291268310456,  0.163001304316,  1.000000000000
29; -0.062915720904, -0.243265195593,  1.000000000000
30; -0.559412958462, -0.524381521237,  1.000000000000
31; -0.861136974669, -0.071818503272,  1.000000000000
32; -0.146769420806, -0.010331335464,  1.000000000000
33;  0.762187316272,  0.555703776288,  1.000000000000
34; -0.238263303315, -0.026032188206,  1.000000000000
35; -0.158032550867,  0.018820280474,  1.000000000000
36;  0.500078529923, -0.402632797472,  1.000000000000
37; -0.483536524013, -0.330338451743,  1.000000000000
38;  0.825747037942,  0.287380351298,  1.000000000000
39; -0.094124836659, -0.436047775671,  1.000000000000
40; -0.119201408476, -0.526976631838,  1.000000000000
41;  0.254051377600, -0.198712503914,  1.000000000000
42; -0.381862662233,  0.246494670273,  1.000000000000
43; -0.497300165442, -0.786080933453,  1.000000000000
44; -0.150301828297,  0.933926836239,  1.000000000000
45;  0.292349651042, -0.186950038579,  1.000000000000
46;  0.117397997013,  0.360387111868,  1.000000000000
47; -0.273956154667,  0.177233653465,  1.000000000000
48;  0.446267082358,  0.749199287204,  1.000000000000
49; -0.493043215876,  0.373472752147,  1.000000000000
50;  0.804452406206, -0.328743106425,  1.000000000000
51; -0.084975909097,  0.376742923180,  1.000000000000
52;  0.202504200854, -0.117575644706,  1.000000000000
53; -0.014953649066, -0.005259073374,  1.000000000000
54;  0.050628891895, -0.112907662442,  1.000000000000
55;  0.600253828551, -0.055716692077,  1.000000000000
56;  0.229563698500, -0.896848600710,  1.000000000000
57; -0.271965977816,  0.479822871640,  1.000000000000
58; -0.006755139035, -0.173305033250,  1.000000000000
59;  0.416134387212,  0.135702072592,  1.000000000000
60; -0.116776872502, -0.102795670683,  1.000000000000
61; -0.147172652768, -0.077930267283,  1.000000000000
62;  0.015757641965, -0.305118986780,  1.000000000000
63; -0.358569459052,  0.872266572612,  1.000000000000
64;  0.391236341217,  0.513211934498,  1.000000000000
65; -0.254286955221,  0.340998200568,  1.000000000000
66; -0.165361590924, -0.639412168089,  1.000000000000
67; -0.070416922294, -0.141795325817,  1.000000000000
68;  0.873745267294, -0.348571381431,  1.000000000000
69; -0.501806286654,  0.060899722090,  1.000000000000
70; -0.085373360870, -0.128728018255,  1.000000000000
71;  0.769230047978,  0.496509256965,  1.000000000000
72; -0.013498478906, -0.114474306298,  1.000000000000
73; -0.144748608071,  0.486494955043,  1.000000000000
74;  0.034239268916, -0.673273415005,  1.000000000000
75; -0.518770009124,  0.681266654015,  1.000000000000
76; -0.111998568217,  0.104668017447,  1.000000000000
77;  0.122697125254,  0.287902110465,  1.000000000000
78; -0.887952984391, -0.247973588777,  1.000000000000
79; -0.196734189692,  0.131548968630,  1.000000000000
80; -0.679660513147,  0.600760378731,  1.000000000000
81;  0.219018133944, -0.420728090564,  1.000000000000
82;  0.870062452389, -0.346162576467,  1.000000000000
83; -0.054777458844,  0.215072704575,  1.000000000000
84; -0.119996849134, -0.335304974388,  1.000000000000
85; -0.080454272428,  0.077413236148,  1.000000000000
86;  0.731126153010, -0.428993277123,  1.000000000000
87; -0.636937490853,  0.051615873119,  1.000000000000
88;  0.477819639962,  0.285688606296,  1.000000000000
89;  0.065286473058, -0.114255356556,  1.000000000000
90; -0.479518364378,  0.672217919248,  1.000000000000
91; -0.005698135507, -0.004032209646,  1.000000000000
92;  0.177468863034, -0.313398553667,  1.000000000000
93; -0.152967436971,  0.156208142120,  1.000000000000
94;  0.258011083138,  0.928351744144,  1.000000000000
95; -0.035397389308, -0.070375388328,  1.000000000000
96; -0.022802239991, -0.010915820213,  1.000000000000
97; -0.084674889623,  0.109126712050,  1.000000000000
98;  0.213373219728,  0.159533543551,  1.000000000000
99;  0.361212474273,  0.013989777593,  1.000000000000
100; -0.771551873841,  0.516187682102,  1.000000000000
101;  0.011738409111,  0.457691079425,  1.000000000000
102; -0.108953859497,  0.058588126990,  1.000000000000
103;  0.018678365838, -0.680958312655,  1.000000000000
104;  0.134991670911, -0.410657406359,  1.000000000000
105;  0.513061000988, -0.461210350632,  1.000000000000
106; -0.099018305905,  0.467565346479,  1.000000000000
107;  0.234379542355, -0.219426970208,  1.000000000000
108; -0.257391023417, -0.459003126900,  1.000000000000
109; -0.261234267278, -0.045061232179,  1.000000000000
110;  0.052126761330, -0.012286582068,  1.000000000000
111; -0.096075739228, -0.594112713061,  1.000000000000
112;  0.105144988778,  0.729275335622,  1.000000000000
113; -0.037118124929, -0.078555425512,  1.000000000000
114; -0.493541546853,  0.155054160670,  1.000000000000
115;  0.347400478553, -0.852027333581,  1.000000000000
116;  0.420844713230, -0.744141245603,  1.000000000000
117;  0.234350863798, -0.556083272851,  1.000000000000
118;  0.181528953423,  0.059050013264,  1.000000000000
119; -0.067775630349,  0.141374607595,  1.000000000000
120; -0.514124211966, -0.726257299298,  1.000000000000
121; -0.572227500482,  0.203619998322,  1.000000000000
122; -0.525315940088, -0.587297708331,  1.000000000000
123; -0.931912669456,  0.216006842382,  1.000000000000
124;  0.036952265040,  0.058647549589,  1.000000000000
125; -0.386810569981,  0.839979055778,  1.000000000000
126;  0.499547863391, -0.580744732247,  1.000000000000
127; -0.006790732918, -0.141504339093,  1.000000000000
128;  0.210015998125, -0.047626229305,  1.000000000000
129;  0.772332021690,  0.507455310743,  1.000000000000
130;  0.000548963357,  0.836161531889,  1.000000000000
131; -0.242895765352,  0.651407997406,  1.000000000000
132;  0.728898658937,  0.439657769329,  1.000000000000
133; -0.351182429472, -0.117425743483,  1.000000000000
134;  0.048417852712, -0.026898550152,  1.000000000000
135; -0.037799873137,  0.465051826985,  1.000000000000
136;  0.138210699840,  0.288587697461,  1.000000000000
137; -0.845319970857, -0.473125667699,  1.000000000000
138;  0.192874156517,  0.048888415021,  1.000000000000
139; -0.205588674441,  0.184547820541,  1.000000000000
140; -0.503101389950, -0.788509529987,  1.000000000000
141;  0.224999193069, -0.216637695964,  1.000000000000
142; -0.892066232342, -0.384861944929,  1.000000000000
143;  0.336896379544, -0.231592763167,  1.000000000000
144;  0.101136462251, -0.291999450920,  1.000000000000
145; -0.206974444537, -0.079180700352,  1.000000000000
146;  0.015345776514, -0.843994234048,  1.000000000000
147; -0.111061941614,  0.115157680021,  1.000000000000
148; -0.027292955180,  0.043592462831,  1.000000000000
149; -0.050900262532,  0.052571766490,  1.000000000000
150; -0.440799674743,  0.060749537893,  1.000000000000
151; -0.878228021044, -0.098253245269,  1.000000000000
152;  0.596400165554, -0.141587331216,  1.000000000000
153; -0.265103169598, -0.493201028423,  1.000000000000
154;  0.534986784198, -0.359410223091,  1.000000000000
155;  0.311021488070, -0.267660719795,  1.000000000000
156;  0.634599628483, -0.328454983437,  1.000000000000
157; -0.214118693152, -0.729047707262,  1.000000000000
158;  0.087287094489,  0.093547034810,  1.000000000000
159; -0.836534405959, -0.268495334034,  1.000000000000
160;  0.893410046770, -0.058831874636,  1.000000000000
161; -0.922095186538,  0.293170307852,  1.000000000000
162; -0.092128772303, -0.050311891549,  1.000000000000
163;  0.266537376665, -0.147556026927,  1.000000000000
164; -0.636826437421, -0.687753653459,  1.000000000000
165; -0.155413007811, -0.115515291356,  1.000000000000
166;  0.010504917408,  0.016692263767,  1.000000000000
167; -0.307602914901, -0.313440450777,  1.000000000000
168; -0.308697400234,  0.138408003996,  1.000000000000
169;  0.039910767389, -0.121325002711,  1.000000000000
170; -0.415145102186, -0.363365016124,  1.000000000000
171;  0.145154883854, -0.780245675574,  1.000000000000
172; -0.203260047302,  0.578881842972,  1.000000000000
173; -0.504066391266, -0.529130699179,  1.000000000000
174;  0.045183157719, -0.057430405207,  1.000000000000
175; -0.234084905865, -0.315465885676,  1.000000000000
176;  0.932679062447,  0.274333392469,  1.000000000000
177; -0.775113336092,  0.323219321015,  1.000000000000
178;  0.367019059324, -0.575614954539,  1.000000000000
179;  0.058617327641, -0.313789664867,  1.000000000000
180;  0.136454091014,  0.902589703006,  1.000000000000
181;  0.600043705973,  0.495532248675,  1.000000000000
182;  0.564945669536, -0.183473297949,  1.000000000000
183;  0.386110641406, -0.261790050563,  1.000000000000
184;  0.608629356245,  0.345277406531,  1.000000000000
185;  0.594334519890, -0.604505202813,  1.000000000000
186; -0.812273199701, -0.499313146462,  1.000000000000
187; -0.040569271303, -0.043008029437,  1.000000000000
188;  0.502647613619, -0.415421461073,  1.000000000000
189;  0.711737878515,  0.392480378263,  1.000000000000
190;  0.164409855004, -0.470774521788,  1.000000000000
191;  0.584031093964, -0.576279806792,  1.000000000000
192; -0.215026089886,  0.689841477167,  1.000000000000
193;  0.192275068450, -0.058314675694,  1.000000000000
194;  0.081949885765,  0.554089251709,  1.000000000000
195;  0.000297329047,  0.000037841113,  1.000000000000
196;  0.009234974789, -0.079041914446,  1.000000000000
197;  0.329545371292,  0.195997167218,  1.000000000000
198; -0.327356300345,  0.584033204679,  1.000000000000
199;  0.600248845984,  0.208634517099,  1.000000000000
200;  0.484363889941, -0.469139509786,  1.000000000000
201;  0.070627360002, -0.002790186620,  1.000000000000
202; -0.673270597652, -0.514404098073,  1.000000000000
203;  0.397750910247, -0.731735366565,  1.000000000000
204;  0.360283089286,  0.069763989216,  1.000000000000
205;  0.710105975502,  0.115422637532,  1.000000000000
206;  0.020940806787, -0.045626036753,  1.000000000000
207;  0.211478829372, -0.637030854599,  1.000000000000
208; -0.224652005138, -0.085132061166,  1.000000000000
209;  0.026640361556,  0.000091767649,  1.000000000000
210;  0.000363348831,  0.382287554285,  1.000000000000
211;  0.657857879114,  0.536230230287,  1.000000000000
212;  0.226976829705, -0.102100601111,  1.000000000000
213; -0.408671328927,  0.691025269323,  1.000000000000
214;  0.435202058296,  0.263882608830,  1.000000000000
215; -0.031044098098, -0.610978951686,  1.000000000000
