id,OptVal,computeTime,Feasibility,
1,-0.823807938837,11182.215,1,
2,-0.9055607831,617.509,1,
3,-0.279763137732,577.34,1,
4,-0.763516167927,571.855,1,
5,-0.49604530449,548.432,1,
6,-0.784686076061,621.201,1,
7,-0.920667235471,638.713,1,
8,-0.29677965838,600.921,1,
9,0,666.333,0,
10,-0.43694163703,583.216,1,
11,0,652.869,0,
12,-1.04915148875,572.254,1,
13,-0.486584688473,567.53,1,
14,-0.52700711255,567.311,1,
15,-1.02022209904,567.269,1,
16,-0.865564655428,678.728,1,
17,0,612.263,0,
18,-0.81280560873,666.997,1,
19,-0.508814759097,599.281,1,
20,-0.81779431823,597.703,1,
21,-1.0743825692,750.636,1,
22,-0.156890335833,629.836,1,
23,-0.885804685477,588.592,1,
24,-0.526808139476,605.678,1,
25,-0.396043689622,641.227,1,
26,-0.670131872956,623.309,1,
27,-0.858940859494,574.412,1,
28,0,593.557,0,
29,-0.433084640463,590.379,1,
30,-0.827316310474,589.608,1,
31,0,573.372,0,
32,-0.93958687549,598.271,1,
33,-0.879667118546,688.126,1,
34,-0.21791676143,605.072,1,
35,-0.751308525102,588.249,1,
36,0,681.51,0,
37,-0.858907924384,555.858,1,
38,-1.06010145624,619.538,1,
39,0,654.917,0,
40,-0.73076713427,617.031,1,
41,0,588.559,0,
42,0,672.879,0,
43,-0.646676984092,641.284,1,
44,-0.925034024145,566.095,1,
45,-0.384571719634,640.67,1,
46,-1.01403034142,647.74,1,
47,-0.724383820896,592.064,1,
48,-0.70880121713,597.373,1,
49,-0.632719109438,599.464,1,
50,-0.550599343366,611.28,1,
51,0,699.02,0,
52,-0.565744441333,643.373,1,
53,-0.6136146384,603.947,1,
54,-0.77622585873,648.507,1,
55,-0.0853449925409,688.099,1,
56,0,724.346,0,
57,-0.69598694755,692.256,1,
58,0,638.59,0,
59,-0.747236899076,665.866,1,
60,-0.566382010036,718.665,1,
61,-0.837559149418,800.541,1,
62,0,653.854,0,
63,0,667.678,0,
64,-0.831264590103,737.631,1,
65,0,750.638,0,
66,-0.511204789399,685.18,1,
67,-0.474071326506,669.283,1,
68,0,662.023,0,
69,-0.612088318678,594.607,1,
70,-0.396496707158,567.666,1,
71,-0.662418508391,576.326,1,
72,0,596.612,0,
73,-0.319932265939,640.96,1,
74,-0.602324965373,722.521,1,
75,-0.658147674808,645.046,1,
76,0,907.463,0,
77,0,742.898,0,
78,-0.63683472116,987.621,1,
79,-0.817968848113,638.781,1,
80,-0.752697142371,656.827,1,
81,-0.672068376219,755.802,1,
82,0,707.929,0,
83,-0.364824840369,740.445,1,
84,-0.371452068546,602.258,1,
85,-0.754922272795,707.041,1,
86,-0.453821077658,647.503,1,
87,-0.74856248608,687.779,1,
88,-1.0704622662,688.273,1,
89,0,715.734,0,
90,-1.09441756878,743.314,1,
91,-0.762129459395,655.595,1,
92,-0.511881262243,553.176,1,
93,-0.552208583784,632.697,1,
94,-0.113404776347,600.234,1,
95,0,647.684,0,
96,-0.198804426222,566.459,1,
97,-0.642591161456,537.4,1,
98,-0.532898672137,620.874,1,
99,0,592.362,0,
100,-0.616475920095,739.735,1,
101,-0.6409644569,639.191,1,
102,-0.342815119566,625.403,1,
103,-0.649538575058,574.948,1,
104,-1.16176282225,662.718,1,
105,-1.08163182032,574.404,1,
106,-1.01791579359,634.611,1,
107,-1.064609238,636.774,1,
108,0,632.654,0,
109,-1.02204772037,732.877,1,
110,0,605.476,0,
111,-0.472538949064,621.642,1,
